id1,id2,distancia,tiempo
12,56,5346,622
12,57,6445,662
12,58,14481,1262
12,59,6445,662
12,60,6445,662
12,61,5816,444
12,62,7594,732
12,63,5346,622
12,64,6159,562
12,65,3291,439
12,66,8368,954
12,67,4729,568
12,68,4729,568
13,0,0,0
13,6,8085,739
13,7,0,0
13,9,8774,765
13,10,0,0
13,11,0,0
13,12,6026,500
13,13,0,0
13,14,0,0
13,15,7671,675
13,16,9363,940
13,17,0,0
13,18,0,0
13,19,0,0
13,20,0,0
13,21,0,0
13,22,8745,886
13,23,6268,528
13,24,9317,938
13,26,8466,886
13,27,9439,817
13,29,4443,426
13,30,8745,886
13,31,0,0
13,32,15065,1381
13,33,10503,1319
13,34,8774,765
13,35,5533,565
13,36,9439,817
13,37,9439,817
13,38,4631,433
13,40,8466,886
13,41,15065,1381
13,42,8745,886
13,43,6573,693
13,44,6846,726
13,45,7671,675
13,47,9439,817
13,48,5533,565
13,49,8745,886
13,50,6573,693
13,51,7414,648
13,52,6026,500
13,53,11471,1465
13,54,9439,817
13,55,9317,938
13,56,9363,940
13,57,0,0
13,58,15353,1415
13,59,0,0
13,60,0,0
13,61,6688,598
13,62,8466,886
13,63,9363,940
13,64,7031,715
13,65,9317,938
13,66,5953,924
13,67,8745,886
13,68,8745,886
14,0,0,0
14,6,8085,739
14,7,0,0
14,9,8774,765
14,10,0,0
14,11,0,0
14,12,6026,500
14,13,0,0
14,14,0,0
14,15,7671,675
14,16,9363,940
14,17,0,0
14,18,0,0
14,19,0,0
14,20,0,0
14,21,0,0
14,22,8745,886
14,23,6268,528
14,24,9317,938
14,26,8466,886
14,27,9439,817
14,29,4443,426
14,30,8745,886
14,31,0,0
14,32,15065,1381
14,33,10503,1319
14,34,8774,765
14,35,5533,565
14,36,9439,817
14,37,9439,817
14,38,4631,433
14,40,8466,886
14,41,15065,1381
14,42,8745,886
14,43,6573,693
14,44,6846,726
14,45,7671,675
14,47,9439,817
14,48,5533,565
14,49,8745,886
14,50,6573,693
14,51,7414,648
14,52,6026,500
14,53,11471,1465
14,54,9439,817
14,55,9317,938
14,56,9363,940
14,57,0,0
14,58,15353,1415
14,59,0,0
14,60,0,0
14,61,6688,598
14,62,8466,886
14,63,9363,940
14,64,7031,715
14,65,9317,938
14,66,5953,924
14,67,8745,886
14,68,8745,886
15,0,9878,1050
15,6,10625,963
15,7,9878,1050
15,9,7064,516
15,10,9878,1050
15,11,9878,1050
15,12,8566,724
15,13,9878,1050
15,14,9878,1050
15,15,0,0
15,16,7413,1002
15,17,9878,1050
